id_penjualan,id_invoice,id_customer,id_barang,tanggal,month,id_distributor,customer,cabang_sales,group,nama_barang,brand,harga,jumlah_barang,total_harga
IN5978-BRG0001,IN5978,CUST55670,BRG0001,2022-05-25,5,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ACYCLOVIR DUS,OGB & PH,96000,9,864000
IN5979-BRG0009,IN5979,CUST55598,BRG0009,2022-03-28,3,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,18,558000
IN5980-BRG0003,IN5980,CUST55432,BRG0003,2022-01-23,1,EPM,APOTEK TAPAK,Aceh,Apotek,AMPICILLIN,MARCKS,17000,20,340000
IN5981-BRG0004,IN5981,CUST55443,BRG0004,2022-01-28,1,TA,APOTEK MERDEKA,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,76,1862000
IN5982-BRG0006,IN5982,CUST55535,BRG0006,2022-01-30,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,5,195000
IN5983-BRG0003,IN5983,CUST55622,BRG0003,2022-04-21,4,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,67,1139000
IN5984-BRG0005,IN5984,CUST55714,BRG0005,2022-05-01,5,TD,KLINIK SAHABAT,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,8,376000
IN5985-BRG0001,IN5985,CUST55640,BRG0001,2022-04-18,4,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ACYCLOVIR DUS,OGB & PH,96000,22,2112000
IN5986-BRG0002,IN5986,CUST55557,BRG0002,2022-02-15,2,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,9,1008000
IN5987-BRG0010,IN5987,CUST55659,BRG0010,2022-04-19,4,TA,KLINIK GM,Jakarta,Klinik,PARACETAMOL,SLCYL,21000,14,294000
IN5988-BRG0002,IN5988,CUST55551,BRG0002,2022-02-09,2,EPM,APOTEK SAHABAT,Padang,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,10,1120000
IN5989-BRG0010,IN5989,CUST55719,BRG0010,2022-05-01,5,TA,KLINIK GM,Jakarta,Klinik,PARACETAMOL,SLCYL,21000,67,1407000
IN5990-BRG0001,IN5990,CUST55706,BRG0001,2022-05-03,5,TD,KLINIK SAHABAT,Tangerang,Klinik,ACYCLOVIR DUS,OGB & PH,96000,10,960000
IN5991-BRG0005,IN5991,CUST55414,BRG0005,2022-01-23,1,TD,KLINIK SAHABAT,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,24,1128000
IN5992-BRG0002,IN5992,CUST55707,BRG0002,2022-06-16,6,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,23,2576000
IN5993-BRG0002,IN5993,CUST55671,BRG0002,2022-05-26,5,EPM,APOTEK SAHABAT,Padang,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,1,112000
IN5994-BRG0002,IN5994,CUST55411,BRG0002,2022-02-01,2,TA,APOTEK MAJA,Kuningan,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,12,1344000
IN5995-BRG0008,IN5995,CUST55607,BRG0008,2022-04-06,4,TA,KLINIK GM,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,14,137200
IN5996-BRG0007,IN5996,CUST55656,BRG0007,2022-05-25,5,EPM,APOTEK SAHABAT,Padang,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,22,1423400
IN5997-BRG0005,IN5997,CUST55380,BRG0005,2022-01-20,1,EPM,APOTEK TAPAK,Aceh,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,40,1880000
IN5997-BRG0002,IN5997,CUST55380,BRG0002,2022-01-20,1,EPM,APOTEK TAPAK,Aceh,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,4,448000
IN5997-BRG0001,IN5997,CUST55380,BRG0001,2022-01-20,1,EPM,APOTEK TAPAK,Aceh,Apotek,ACYCLOVIR DUS,OGB & PH,96000,1,96000
IN5997-BRG0004,IN5997,CUST55380,BRG0004,2022-01-20,1,EPM,APOTEK TAPAK,Aceh,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,11,269500
IN5997-BRG0003,IN5997,CUST55380,BRG0003,2022-01-20,1,EPM,APOTEK TAPAK,Aceh,Apotek,AMPICILLIN,MARCKS,17000,6,102000
IN5998-BRG0001,IN5998,CUST55610,BRG0001,2022-04-09,4,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ACYCLOVIR DUS,OGB & PH,96000,23,2208000
IN5999-BRG0003,IN5999,CUST55632,BRG0003,2022-05-01,5,TA,APOTEK SINAR JAYA,Bekasi,Apotek,AMPICILLIN,MARCKS,17000,5,85000
IN6000-BRG0008,IN6000,CUST55717,BRG0008,2022-06-16,6,EPM,APOTEK TAPAK,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,7,68600
IN6001-BRG0004,IN6001,CUST55603,BRG0004,2022-04-02,4,EPM,APOTEK SAHABAT,Padang,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,21,514500
IN6002-BRG0007,IN6002,CUST55546,BRG0007,2022-02-04,2,TA,APOTEK MAJA,Kuningan,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,14,905800
IN6003-BRG0005,IN6003,CUST55424,BRG0005,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,9,423000
IN6004-BRG0010,IN6004,CUST55729,BRG0010,2022-05-01,5,TD,KLINIK SAHABAT,Tangerang,Klinik,PARACETAMOL,SLCYL,21000,5,105000
IN6005-BRG0008,IN6005,CUST55447,BRG0008,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,12,117600
IN6006-BRG0005,IN6006,CUST55554,BRG0005,2022-02-12,2,TA,KLINIK GM,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,5,235000
IN6007-BRG0006,IN6007,CUST55715,BRG0006,2022-05-02,5,TA,APOTEK SINAR JAYA,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,9,351000
IN6008-BRG0004,IN6008,CUST55469,BRG0004,2022-01-30,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,12,294000
IN6009-BRG0008,IN6009,CUST55637,BRG0008,2022-04-28,4,TA,KLINIK GM,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,76,744800
IN6010-BRG0001,IN6010,CUST55676,BRG0001,2022-05-31,5,TD,KLINIK SAHABAT,Tangerang,Klinik,ACYCLOVIR DUS,OGB & PH,96000,5,480000
IN6011-BRG0008,IN6011,CUST55567,BRG0008,2022-02-25,2,EPM,APOTEK TAPAK,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,10,98000
IN6012-BRG0003,IN6012,CUST55712,BRG0003,2022-06-16,6,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,5,85000
IN6013-BRG0002,IN6013,CUST55407,BRG0002,2022-01-28,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,25,2800000
IN6014-BRG0002,IN6014,CUST55591,BRG0002,2022-03-21,3,TA,APOTEK MAJA,Kuningan,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,34,3808000
IN6015-BRG0003,IN6015,CUST55482,BRG0003,2022-01-31,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,AMPICILLIN,MARCKS,17000,5,85000
IN6016-BRG0010,IN6016,CUST55579,BRG0010,2022-03-09,3,TD,KLINIK SAHABAT,Tangerang,Klinik,PARACETAMOL,SLCYL,21000,5,105000
IN6017-BRG0004,IN6017,CUST55513,BRG0004,2022-02-01,2,EPM,APOTEK SAHABAT,Padang,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,23,563500
IN6018-BRG0003,IN6018,CUST55602,BRG0003,2022-04-01,4,TA,APOTEK SINAR JAYA,Bekasi,Apotek,AMPICILLIN,MARCKS,17000,14,238000
IN6019-BRG0004,IN6019,CUST55663,BRG0004,2022-04-20,4,EPM,APOTEK SAHABAT,Padang,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,12,294000
IN6020-BRG0002,IN6020,CUST55581,BRG0002,2022-03-11,3,EPM,APOTEK SAHABAT,Padang,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,1,112000
IN6021-BRG0001,IN6021,CUST55620,BRG0001,2022-04-19,4,EPM,APOTEK TAPAK,Aceh,Apotek,ACYCLOVIR DUS,OGB & PH,96000,7,672000
IN6022-BRG0005,IN6022,CUST55654,BRG0005,2022-05-23,5,TD,KLINIK SAHABAT,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,9,423000
IN6023-BRG0009,IN6023,CUST55399,BRG0009,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,AMBROXOL HC,VNS,31000,67,2077000
IN6023-BRG0005,IN6023,CUST55399,BRG0005,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,10,470000
